"fecha_de_autorizaci_n","tipo_de_solicitud","solicitante_importador","ium","principio_activo1","concentraci_n_delmedicamento1","unidad_medida1","principio_activo2","concentraci_n_del_medicamento2","unidad_medida2","forma_farmac_utica","nombre_comercial_","cantidad_solicitada","presentaci_n_comercial","diagnostico_cie_1no_reporta","c_digo_diagnostico_cie_10"
"2025-08-29T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL THERAPEUTICS S.A.S","1T1001911004100","TOLVAPTAN","15","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","54","CAJAS X 10 TABLETAS","RIÑON POLIQUISTICO, TIPO NO ESPECIFICADO","Q613"
"2025-08-28T05:00:00.000","URGENCIA CLÍNICA","SUMA ACTIVA SAS","1C1026741001100","CLEMASTINA","1","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","TAVEGIL","36","CAJA X 5 AMPOLLLAS DE 2mL","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
"2025-08-27T05:00:00.000","MÁS DE UN PACIENTE","MEDICAL KIT LTDA.","1S1011611000100","SUERO ANTIALACRÁN (FABOTERÁPICO POLIVALENTE ANTIALACRÁN)","1.8","mg","NO APLICA","NO APLICA","NO APLICA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE","ALACRAMYN","1800","CAJAS X UN (1) VIAL DE VIDRIO CON 5ML DE SOLUCIÓN ISOTÓNICA DE CLORURO DE SODIO","NO REPORTADO","NO REPORTADO"
"2025-08-27T05:00:00.000","MÁS DE UN PACIENTE","MEDICAL KIT LTDA.","1S1011611000100","DILUYENTE DE CLORURO DE SODIO","0,9/100","g/ml","NO APLICA","NO APLICA","NO APLICA","SOLUCION","ALACRAMYN","1800","CAJAS X UN (1) VIAL DE VIDRIO CON 5ML DE SOLUCIÓN ISOTÓNICA DE CLORURO DE SODIO","NO REPORTADO","NO REPORTADO"
"2025-08-27T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","3","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-27T05:00:00.000","URGENCIA CLÍNICA","UNO HEALTHCARE S.A.S.","SIN IUM POR SER FITOTERAPEUTICO","EXTRACTO SECO DE LA CORTEZA DE ABEDUL-BETULINA","100","mg","NO APLICA","NO APLICA","NO APLICA","GEL","FILSUVEZ","24","TUBOS X 23,4 g","EPIDERMOLISIS BULLOSA ADQUIRIDA","L123"
"2025-08-26T05:00:00.000","PACIENTE ESPECIFICO","JAASIEL SAS - ORPHANDC G COL S.A.S","1P1041891000100","PEGCETACOPLAN","54","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCION PARA INFUSION","EMPAVELI","48","CAJAS X 1 VIAL X 20 ML","HEMOGLOBINURIA PAROXISTICA NOCTURNA [MARCHIAFAVA-MICHELI]","D595"
"2025-08-26T05:00:00.000","MÁS DE UN PACIENTE","ADVANCE SCIENTIFIC DE COLOMBIA S.A.S.","1H1014241013100","HIDROXICLOROQUINA","200","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","UNIQUIN","2000","CAJAS X 60 TABLETAS","DIABETES INSIPIDA","E232"
"2025-08-25T05:00:00.000","MÁS DE UN PACIENTE","NEXT PHARMA SOURCING S.A.S.","1V1019601011100","VASOPRESINA","20","UI/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NEXT PHARMA SOURCING","3700","CAJA X 10 AMPOLLAS DE 1 mL","DIABETES INSIPIDA","E232"
"2025-08-21T05:00:00.000","MÁS DE UN PACIENTE","LABORATORIOS MEDIFARMA S.A.S.","1S1015871005101","SODIO BICARBONATO","84","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","LABORATORIOS SANDERSON","600","CAJA X 100 AMPOLLAS DE 10 mL","ACIDOSIS","E872"
"2025-08-21T05:00:00.000","MÁS DE UN PACIENTE","REPREFARCO SAS","1N1025871003100","NOREPINEFRINA","1","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NOMBRE COMUN","3300","CAJA X 10 AMPOLLAS DE 4 mL","NO REPORTADO","NO REPORTADO"
"2025-08-21T05:00:00.000","MÁS DE UN PACIENTE","REPREFARCO SAS","1N1025871003100","NOREPINEFRINA","1","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NOMBRE COMUN","3400","CAJA X 10 AMPOLLAS DE 4 mL","NO REPORTADO","NO REPORTADO"
"2025-08-21T05:00:00.000","MÁS DE UN PACIENTE","REPREFARCO SAS","1N1025871003100","NOREPINEFRINA","1","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NOMBRE COMUN","3300","CAJA X 10 AMPOLLAS DE 4 mL","NO REPORTADO","NO REPORTADO"
"2025-08-21T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1A1062931000100","AMIVANTAMAB","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","RYBREVANT","18","CAJAS X 1 VIAL","TUMOR MALIGNO DE LOS BRONQUIOS O DEL PULMON, PARTE NO ESPECIFICADA","C349"
"2025-08-21T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
"2025-08-21T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
"2025-08-21T05:00:00.000","URGENCIA CLÍNICA","MULTICARE PHARMACEUTICALS COLOMBIA SAS","1V1041501000101","VOSORITIDA","0.8","mg/mL","NO APLICA","NO APLICA","NO APLICA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE","VOXZOGO","18","CAJA X 10 VIALES DE 0,5 ml","ACONDROPLASIA","Q774"
"2025-08-21T05:00:00.000","URGENCIA CLÍNICA","UNO HEALTHCARE S.A.S.","SIN IUM POR SER FITOTERAPEUTICO","EXTRACTO SECO DE LA CORTEZA DE ABEDUL-BETULINA","100","mg","NO APLICA","NO APLICA","NO APLICA","GEL","FILSUVEZ","48","TUBOS X 23,4 g","EPIDERMOLISIS BULLOSA DISTROFICA","Q812"
"2025-08-21T05:00:00.000","URGENCIA CLÍNICA","UNO HEALTHCARE S.A.S.","SIN IUM POR SER FITOTERAPEUTICO","EXTRACTO SECO DE LA CORTEZA DE ABEDUL-BETULINA","100","mg","NO APLICA","NO APLICA","NO APLICA","GEL","FILSUVEZ","72","TUBOS X 23,4 g","EPIDERMOLISIS BULLOSA DISTROFICA","Q812"
"2025-08-21T05:00:00.000","PACIENTE ESPECIFICO","SOLUCOL GROUP S.A.S","1T1007651003100","TOLVAPTAN","30","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","72","CAJAS X 10 TABLETAS","RIÑON POLIQUISTICO, TIPO ADULTO","Q612"
"2025-08-19T05:00:00.000","MÁS DE UN PACIENTE","SICMAFARMA S.A.S.","1A1000281014101","AZUL DE METILENO","10","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","SICMAFARMA","1500","CAJA X 10 AMPOLLAS DE 5 mL","NO REPORTADO","NO REPORTADO"
"2025-08-19T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA DE LIBERACION NO MODIFICADA","TRIKAFTA","6","CAJA X 28 DOSIS
CADA CAJA CON KIT POR 84 TABLETAS, DE ELEXACAFTOR 100 MG/ TEZACAFTOR 50 MG / IVACAFTOR 75 MG (56 TABLETAS) & IVACAFTOR 150 MG (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-19T05:00:00.000","PACIENTE ESPECIFICO","INPHAPRO SAS - IMED ORPHAN S.A.S","1I1035001000100","IDEBENONA","150","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","RAXONE","3","FRASCOS X 180 TABLETAS","ATROFIA OPTICA","H472"
"2025-08-19T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-19T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA DE LIBERACION NO MODIFICADA","TRIKAFTA","6","CAJA X 28 DOSIS
CADA CAJA CON KIT POR 84 TABLETAS, DE ELEXACAFTOR 100 MG/ TEZACAFTOR 50 MG / IVACAFTOR 75 MG (56 TABLETAS) & IVACAFTOR 150 MG (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-19T05:00:00.000","PACIENTE ESPECIFICO","GESTIFARMA S.A.S. - PFIZER SAS","1E1060801000101","ELRANATAMAB","40","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","ELREXFIO","2","CAJAS X 1 VIAL X 1,1 mL","MIELOMA MULTIPLE","C900"
"2025-08-19T05:00:00.000","PACIENTE ESPECIFICO","GESTIFARMA S.A.S. - PFIZER SAS","1E1060801000100","ELRANATAMAB","40","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","ELREXFIO","11","CAJAS X 1 VIAL X 1,9 mL","MIELOMA MULTIPLE","C900"
"2025-08-14T05:00:00.000","MÁS DE UN PACIENTE","BLAU FARMACÉUTICA COLOMBIA SAS","1I1030991009100","INMUNOGLOBULINA HUMANA NORMAL","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","IMMUGLO","4987","CAJAS. CADA CAJA CON UN (1) VIAL X 100ml","DEFICIENCIA SELECTIVA DE SUBCLASES DE LA INMUNOGLOBULINA G [IgG]","D803"
"2025-08-14T05:00:00.000","MÁS DE UN PACIENTE","NEXT PHARMA SOURCING S.A.S.","1I1030991005100","INMUNOGLOBULINA HUMANA NORMAL","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","IMMUNOREL","3220","CAJAS X 1 VIAL X 100 mL","OTROS TRASTORNOS DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE","D77X"
"2025-08-14T05:00:00.000","MÁS DE UN PACIENTE","NEXT PHARMA SOURCING S.A.S.","1I1030991005100","INMUNOGLOBULINA HUMANA NORMAL","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","IMMUNOREL","3212","CAJAS X 1 VIAL X 100 mL","OTROS TRASTORNOS DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE","D77X"
"2025-08-14T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063651000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/150","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 50mg/ TEZACAFTOR 25mg / IVACAFTOR 37,5mg (56 TABLETAS) & DE IVACAFTOR 75mg (28 TABLETAS)","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
"2025-08-14T05:00:00.000","PACIENTE ESPECIFICO","SALUTIS SAS - VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA DE LIBERACION NO MODIFICADA","TRIKAFTA","6","CAJA X 28 DOSIS
CADA CAJA CON KIT POR 84 TABLETAS, DE ELEXACAFTOR 100 MG/ TEZACAFTOR 50 MG / IVACAFTOR 75 MG (56 TABLETAS) & IVACAFTOR 150 MG (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-14T05:00:00.000","URGENCIA CLÍNICA","UNO HEALTHCARE S.A.S.","SIN IUM POR SER FITOTERAPEUTICO","EXTRACTO SECO DE LA CORTEZA DE ABEDUL-BETULINA","100","mg","NO APLICA","NO APLICA","NO APLICA","GEL","FILSUVEZ","72","TUBOS X 23,4 g","EPIDERMOLISIS BULLOSA DISTROFICA","Q812"
"2025-08-14T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-14T05:00:00.000","URGENCIA CLÍNICA","GESTIFARMA S.A.S.","1A1062931000100","AMIVANTAMAB","50","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCION PARA PERFUSION","RYBREVANT","27","CAJAS X UN (1) VIAL DE 7ml","ADENOCARCINOMA MODERADO DIFERENCIADO DE PRIMARIO EN PULMÓN AVANZADO","C349"
"2025-08-14T05:00:00.000","PACIENTE ESPECIFICO","INPHAPRO SAS - ORPHANDC G COL S.A.S","1P1063001000100","PACRITINIB","100","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","VONJO","3","CAJAS X 120 CAPSULAS","OTRAS ENFERMEDADES ESPECIFICADAS DE LA SANGRE Y DE LOS ORGANOS HEMATOPOYETICOS","D758"
"2025-08-14T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA DE LIBERACION NO MODIFICADA","TRIKAFTA","6","CAJA X 28 DOSIS
CADA CAJA CON KIT POR 84 TABLETAS, DE ELEXACAFTOR 100 MG/ TEZACAFTOR 50 MG / IVACAFTOR 75 MG (56 TABLETAS) & IVACAFTOR 150 MG (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-14T05:00:00.000","PACIENTE ESPECIFICO","GADALPHARMA INTERNACIONAL SAS","1S1017541000100","OXIBATO DE SODIO","500","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN ORAL","XYREM","9","FRASCO X 180 mL","NARCOLEPSIA Y CATAPLEXIA","G474"
"2025-08-14T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S.","1A1014981000100","AZTREONAM","75","mg","NO APLICA","NO APLICA","NO APLICA","POLVO PARA NEBULIZAR","CAYSTON","6","CAJA X 84 VIALES","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-14T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","1I1024251000100","IVACAFTOR","150","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","KALYDECO","7","CAJAS X 56 TABLETAS","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-14T05:00:00.000","PACIENTE ESPECIFICO","GLOBAL SERVICE PHARMACEUTICAL S.A.S. - VALENTECH","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-14T05:00:00.000","PACIENTE ESPECIFICO","ROCKA INTERNATIONAL SOLUTIONS","1T1007651003100","TOLVAPTAN","30","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TOLVAHEAL","36","CAJAS X 10 TABLETAS","RIÑON POLIQUISTICO, TIPO ADULTO","Q612"
"2025-08-11T05:00:00.000","MÁS DE UN PACIENTE","BLAU FARMACÉUTICA COLOMBIA SAS","1C1038531002100","CITARABINA","500","mg/Vial","NO APLICA","NO APLICA","NO APLICA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE","NO REPORTADO","6600","CAJAS X UN (1) VIAL","LEUCEMIA MIELOIDE AGUDA","C920"
"2025-08-11T05:00:00.000","MÁS DE UN PACIENTE","FMK FARMAKO S.A.S","1A1005551005100","ASPARAGINASA ERWINIA","10000","UI","NO APLICA","NO APLICA","NO APLICA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE","BIODOS PHARMA","300","VIALES","LEUCEMIA LINFOBLASTICA AGUDA","C910"
"2025-08-11T05:00:00.000","PACIENTE ESPECIFICO","INTERNATIONAL PHARMACEUTICAL PRODUCTS SAS (INPHAPRO SAS)","1S1042531001101","SELPERCATINIB","40","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","RETSEVMO","6","CAJAS X 56 CAPSULAS","TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON","C341"
"2025-08-11T05:00:00.000","PACIENTE ESPECIFICO","AUDIFARMA S.A.","1A1001701000100","ATALURENO","1000","mg","NO APLICA","NO APLICA","NO APLICA","POLVO GRANULADO PARA RECONSTITUIR A SUSPENSIÓN ORAL","TRANSLARNA","6","CAJAS X 30 SOBRES","DISTROFIA MUSCULAR","G710"
"2025-08-11T05:00:00.000","PACIENTE ESPECIFICO","AUDIFARMA S.A.","1A1000141000100","ATALURENO","250","mg","NO APLICA","NO APLICA","NO APLICA","POLVO GRANULADO PARA RECONSTITUIR A SUSPENSIÓN ORAL","TRANSLARNA","24","CAJAS X 30 SOBRES","DISTROFIA MUSCULAR","G710"
"2025-08-11T05:00:00.000","MÁS DE UN PACIENTE","EVOLUCIA SAS","1I1041491000101","INTERFERON ALFA 2 BETA","5","MUI/mL","NO APLICA","NO APLICA","NO APLICA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE","URIFRÓN","260","CAJAS X UN VIAL DE 1 mL + JERINGA PRELLENADA CON 1 mL DE DILUENTE","NO REPORTADO","NO REPORTADO"
"2025-08-11T05:00:00.000","MÁS DE UN PACIENTE","EVOLUCIA SAS","1I1041491000101","INTERFERON ALFA 2 BETA","5","MUI/mL","NO APLICA","NO APLICA","NO APLICA","POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE","URIFRÓN","1241","CAJA X UN VIAL  DE 1 ml+ JERINGA PRELLENADA CON 1 mL DE DILUENTE","NO REPORTADO","NO REPORTADO"
"2025-08-11T05:00:00.000","URGENCIA CLÍNICA","ELI LILLY INTERAMERICA INC","1S1041711000101","SELPERCATINIB","80","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","RETSEVMO","6","FRASCOS X 120 CAPSULAS","TUMOR MALIGNO DEL LOBULO SUPERIOR, BRONQUIO O PULMON","C341"
"2025-08-11T05:00:00.000","PACIENTE ESPECIFICO","SALUTIS SAS - VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","TRIKAFTA","6","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 84 TABLETAS, DE ELEXACAFTOR 100mg/ TEZACAFTOR 50mg / IVACAFTOR 75mg (56 TABLETAS) & DE IVACAFTOR 150mg (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-11T05:00:00.000","PACIENTE ESPECIFICO","INTERNATIONAL PHARMACEUTICAL PRODUCTS SAS (INPHAPRO SAS)","1G1035871000100","GIVOSIRAN","189","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","GIVLAARI","6","CAJA X 1 VIAL DE 1 mL","OTRAS PORFIRIAS","E802"
"2025-08-11T05:00:00.000","PACIENTE ESPECIFICO","INPHAPRO SAS - IMED ORPHAN S.A.S","1I1035001000100","IDEBENONA","150","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA","RAXONE","6","FRASCOS X 180 TABLETAS","ATROFIA OPTICA","H472"
"2025-08-11T05:00:00.000","PACIENTE ESPECIFICO","JAASIEL SAS - ORPHANDC G COL S.A.S","1P1063001000100","PACRITINIB","100","mg","NO APLICA","NO APLICA","NO APLICA","CAPSULA","VONJO","3","CAJAS X 120 CAPSULAS","MIELOFIBROSIS AGUDA","C945"
"2025-08-06T05:00:00.000","MÁS DE UN PACIENTE","PISA FARMACÉUTICA DE COLOMBIA S.A.","1L1005651000100","LIDOCAÍNA CLORHIDRATO","10","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","PISACAÍNA","15180","CAJAS X UN FRASCO AMPULA X 50 mL","ANESTESIA DE LA PIEL","R200"
"2025-08-06T05:00:00.000","MÁS DE UN PACIENTE","PISA FARMACÉUTICA DE COLOMBIA S.A.","1B1024501002100","BUPIVACAINA CLORHIDRATO","5","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","BUVACAINA","24353","CAJAS CON UNA (1) AMPOLLETA X 10 mL","ANESTÉSICO","NO REPORTADO"
"2025-08-06T05:00:00.000","MÁS DE UN PACIENTE","AVALON PHARMACEUTICAL SA","1H1027911001100","VACUNA HEPATITIS B –VIRUS INACTIVADO- ANTÍGENO DE SUPERFICIE DEL VIRUS DE LA HEPATITIS B (HBsAg)","20","µg/Dosis (1ml)","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","REVAC- B+","1171","CAJA X 1 VIAL DE 1 mL","NO REPORTADO","NO REPORTADO"
"2025-08-06T05:00:00.000","MÁS DE UN PACIENTE","AVALON PHARMACEUTICAL SA","1H1027911001100","VACUNA HEPATITIS B –VIRUS INACTIVADO- ANTÍGENO DE SUPERFICIE DEL VIRUS DE LA HEPATITIS B (HBsAg)","20","µg/Dosis (1ml)","NO APLICA","NO APLICA","NO APLICA","SUSPENSION INYECTABLE","REVAC- B+","14359","CAJA X 1 VIAL DE 1 mL","NO REPORTADO","NO REPORTADO"
"2025-08-06T05:00:00.000","PACIENTE ESPECIFICO","SALUTIS SAS - VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA DE LIBERACION NO MODIFICADA","TRIKAFTA","3","CAJA X 28 DOSIS
CADA CAJA CON KIT POR 84 TABLETAS, DE ELEXACAFTOR 100 MG/ TEZACAFTOR 50 MG / IVACAFTOR 75 MG (56 TABLETAS) & IVACAFTOR 150 MG (28 TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-06T05:00:00.000","MÁS DE UN PACIENTE","HOLLAND GROUP SAS","1T1024151013100","TRINITRATO DE GLICEROL","5","mg/mL","NO APLICA","NO APLICA","NO APLICA","SOLUCIÓN INYECTABLE","NITROCAN 50","1600","CAJAS X 5 AMPOLLAS X 10 mL","ANGINA DE PECHO, NO ESPECIFICADA","I209"
"2025-08-06T05:00:00.000","PACIENTE ESPECIFICO","VALENTECH PHARMA COLOMBIA SAS","2E1063641000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","200/100/300","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA DE LIBERACION NO MODIFICADA","TRIKAFTA","6","CAJA X 28 DOSIS
CADA CAJA CON KIT POR 84 TABLETAS, DE ELEXACAFTOR 100 MG/ TEZACAFTOR 50 MG / IVACAFTOR 75 MG (56 TABLETAS) & IVACAFTOR 150 MG (28 TABLETAS)","FIBROSIS QUISTICA CON OTRAS MANIFESTACIONES","E848"
"2025-08-06T05:00:00.000","URGENCIA CLÍNICA","VALENTECH PHARMA COLOMBIA SAS","2E1063651000102","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","100/50/150","mg","NO APLICA","NO APLICA","NO APLICA","TABLETA DE LIBERACION NO MODIFICADA","TRIKAFTA","3","CAJA X 28 DOSIS
CADA CAJA CON KIT POR 84 TABLETAS, DE ELEXACAFTOR 50 MG/ TEZACAFTOR 25 MG /IVACAFTOR 37,5 MG (56 TABLETAS) & IVACAFTOR 75MG (28TABLETAS)","FIBROSIS QUISTICA CON MANIFESTACIONES PULMONARES","E840"
"2025-08-06T05:00:00.000","URGENCIA CLÍNICA","SALUTIS SAS - VALENTECH PHARMA COLOMBIA SAS","2E1061041000101","ELEXACAFTOR / TEZACAFTOR / IVACAFTOR","80/40/119,5","mg","NO APLICA","NO APLICA","NO APLICA","GRANULOS DE LIBERACION NO MODIFICADA","TRIKAFTA","3","CAJAS X 28 DOSIS

CADA CAJA CONTIENE KIT POR 56 SOBRES, DE ELEXACAFTOR 80 MG/ TEZACAFTOR 40 MG / IVACAFTOR 60 MG (28 SOBRES) & DE IVACAFTOR 59,5 MG (28 SOBRES)","FIBROSIS QUISTICA, SIN OTRA ESPECIFICACION","E849"
